string_id,source_zh,type
MEBG_EMPTY_B0_E1,,Empty
PHO_002,⟦PH_1⟧,Placeholder
UI_013,这是UI文本测试_13,UI
MEBG_EMPTY_B0_E2,,Empty
DIA_002,这是对话文本测试_2，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B0_E0,,Empty
MEBG_EMPTY_B0_E3,,Empty
DIA_008,这是对话文本测试_8，用于检查长句子的翻译完整性。,Dialogue
UI_003,这是UI文本测试_3,UI
DIA_009,这是对话文本测试_9，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B1_E2,,Empty
UI_007,这是UI文本测试_7,UI
DIA_012,这是对话文本测试_12，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B1_E0,,Empty
MEBG_EMPTY_B1_E3,,Empty
MEBG_EMPTY_B1_E1,,Empty
PHO_004,⟦PH_3⟧,Placeholder
UI_002,这是UI文本测试_2,UI
UI_018,这是UI文本测试_18,UI
UI_017,这是UI文本测试_17,UI
UI_011,这是UI文本测试_11,UI
UI_016,这是UI文本测试_16,UI
UI_008,这是UI文本测试_8,UI
DIA_003,这是对话文本测试_3，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B2_E3,,Empty
UI_004,这是UI文本测试_4,UI
MEBG_EMPTY_B2_E1,,Empty
DIA_015,这是对话文本测试_15，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B2_E2,,Empty
MEBG_EMPTY_B2_E0,,Empty
SYS_005,System_Error_5: ⟦PH_0⟧ connection failed.,System
DIA_011,这是对话文本测试_11，用于检查长句子的翻译完整性。,Dialogue
SYS_004,System_Error_4: ⟦PH_0⟧ connection failed.,System
MEBG_EMPTY_B3_E3,,Empty
MEBG_EMPTY_B3_E2,,Empty
UI_015,这是UI文本测试_15,UI
UI_019,这是UI文本测试_19,UI
MEBG_EMPTY_B3_E1,,Empty
MEBG_EMPTY_B3_E0,,Empty
UI_014,这是UI文本测试_14,UI
UI_009,这是UI文本测试_9,UI
MEBG_EMPTY_B4_E1,,Empty
UI_006,这是UI文本测试_6,UI
DIA_010,这是对话文本测试_10，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B4_E3,,Empty
MEBG_EMPTY_B4_E2,,Empty
UI_001,这是UI文本测试_1,UI
PHO_001,⟦PH_0⟧,Placeholder
MEBG_EMPTY_B4_E0,,Empty
PHO_005,⟦PH_4⟧,Placeholder
UI_020,这是UI文本测试_20,UI
MEBG_EMPTY_B5_E3,,Empty
MEBG_EMPTY_B5_E2,,Empty
UI_012,这是UI文本测试_12,UI
MEBG_EMPTY_B5_E1,,Empty
DIA_013,这是对话文本测试_13，用于检查长句子的翻译完整性。,Dialogue
DIA_005,这是对话文本测试_5，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B5_E0,,Empty
DIA_004,这是对话文本测试_4，用于检查长句子的翻译完整性。,Dialogue
DIA_014,这是对话文本测试_14，用于检查长句子的翻译完整性。,Dialogue
DIA_007,这是对话文本测试_7，用于检查长句子的翻译完整性。,Dialogue
DIA_006,这是对话文本测试_6，用于检查长句子的翻译完整性。,Dialogue
PHO_003,⟦PH_2⟧,Placeholder
MEBG_EMPTY_B6_E1,,Empty
MEBG_EMPTY_B6_E0,,Empty
MEBG_EMPTY_B6_E3,,Empty
SYS_001,System_Error_1: ⟦PH_0⟧ connection failed.,System
UI_010,这是UI文本测试_10,UI
SYS_002,System_Error_2: ⟦PH_0⟧ connection failed.,System
MEBG_EMPTY_B6_E2,,Empty
MEBG_EMPTY_B7_E3,,Empty
UI_003,这是UI文本测试_3,UI
MEBG_EMPTY_B7_E2,,Empty
MEBG_EMPTY_B7_E1,,Empty
DIA_009,这是对话文本测试_9，用于检查长句子的翻译完整性。,Dialogue
UI_005,这是UI文本测试_5,UI
SYS_003,System_Error_3: ⟦PH_0⟧ connection failed.,System
MEBG_EMPTY_B7_E0,,Empty
UI_013,这是UI文本测试_13,UI
DIA_001,这是对话文本测试_1，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B8_E2,,Empty
MEBG_EMPTY_B8_E0,,Empty
PHO_002,⟦PH_1⟧,Placeholder
DIA_002,这是对话文本测试_2，用于检查长句子的翻译完整性。,Dialogue
UI_017,这是UI文本测试_17,UI
DIA_008,这是对话文本测试_8，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B8_E3,,Empty
UI_002,这是UI文本测试_2,UI
UI_007,这是UI文本测试_7,UI
MEBG_EMPTY_B8_E1,,Empty
PHO_004,⟦PH_3⟧,Placeholder
MEBG_EMPTY_B9_E3,,Empty
DIA_003,这是对话文本测试_3，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B9_E1,,Empty
DIA_015,这是对话文本测试_15，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B9_E0,,Empty
UI_018,这是UI文本测试_18,UI
DIA_012,这是对话文本测试_12，用于检查长句子的翻译完整性。,Dialogue
MEBG_EMPTY_B9_E2,,Empty
UI_008,这是UI文本测试_8,UI
